city_ascii,lat,lng,country,capital,population
Tokyo,35.687,139.7495,Japan,primary,37785000
Jakarta,-6.175,106.8275,Indonesia,primary,33756000
Delhi,28.61,77.23,India,admin,32226000
Guangzhou,23.13,113.26,China,admin,26940000
Mumbai,19.0761,72.8775,India,admin,24973000
Manila,14.5958,120.9772,Philippines,primary,24922000
Shanghai,31.2286,121.4747,China,admin,24073000
Sao Paulo,-23.5504,-46.6339,Brazil,admin,23086000
Seoul,37.5667,126.9833,"Korea, South",primary,23016000
Mexico City,19.4333,-99.1333,Mexico,primary,21804000
Kolkata,22.5675,88.37,India,admin,21747000
Cairo,30.0444,31.2358,Egypt,primary,20296000
Karachi,24.86,67.01,Pakistan,admin,20249000
Dhaka,23.7289,90.3944,Bangladesh,primary,19134000
New York,40.6943,-73.9249,United States,,18832416
Beijing,39.9067,116.3975,China,primary,18522000
Bangkok,13.7525,100.4942,Thailand,primary,18007000
Shenzhen,22.5415,114.0596,China,minor,17619000
Moscow,55.7506,37.6175,Russia,primary,17332000
Buenos Aires,-34.6036,-58.3814,Argentina,primary,16710000
Lagos,6.455,3.3841,Nigeria,minor,16637000
Bangalore,12.9789,77.5917,India,admin,15386000
Ho Chi Minh City,10.7756,106.7019,Vietnam,admin,15136000
Osaka,34.6939,135.5022,Japan,admin,15126000
Chengdu,30.66,104.0633,China,admin,14645000
Istanbul,41.0136,28.955,Turkey,admin,14441000
Tehran,35.6889,51.3897,Iran,primary,14148000
Kinshasa,-4.3219,15.3119,Congo (Kinshasa),primary,12836000
Rio de Janeiro,-22.9111,-43.2056,Brazil,admin,12592000
Chennai,13.0825,80.275,India,admin,12395000
Xi'an,34.2611,108.9422,China,admin,12328000
Lahore,31.5497,74.3436,Pakistan,admin,12306000
Chongqing,29.5637,106.5504,China,admin,12135000
Los Angeles,34.1141,-118.4068,United States,,11885717
London,51.5072,-0.1275,United Kingdom,primary,11262000
Paris,48.8567,2.3522,France,primary,11060000
Linyi,35.1038,118.3564,China,,10820000
Dongguan,23.021,113.752,China,minor,10646000
Baoding,38.874,115.464,China,minor,10546831
Hyderabad,17.3617,78.4747,India,admin,10494000
Tianjin,39.1336,117.2054,China,admin,10368000
Lima,-12.06,-77.0375,Peru,primary,10320000
Wuhan,30.5934,114.3046,China,admin,10251000
Nanyang,32.9902,112.5285,China,,9577771
Hangzhou,30.267,120.153,China,admin,9523000
Nagoya,35.1833,136.9,Japan,admin,9197000
Luanda,-8.8383,13.2344,Angola,primary,9051000
Foshan,23.0214,113.1216,China,minor,9042500
Kuala Lumpur,3.1686,101.698,Malaysia,primary,8911000
Zhoukou,33.6367,114.7014,China,minor,8677800
Tongshan,34.261,117.1859,China,minor,8669000
Hanoi,21,105.85,Vietnam,primary,8587100
Chicago,41.8375,-87.6866,United States,,8489066
Nanjing,32.0608,118.7789,China,admin,8422000
Heze,35.2343,115.4796,China,minor,8287693
Pune,18.5203,73.8567,India,,8231000
Jining,35.4151,116.5871,China,,8081905
Bogota,4.7111,-74.0722,Colombia,primary,8034649
Ahmedabad,23.0225,72.5714,India,minor,8009000
Shenyang,41.8025,123.4281,China,admin,7964000
Dar es Salaam,-6.8161,39.2803,Tanzania,admin,7962000
Khartoum,15.6031,32.5265,Sudan,primary,7869000
Johannesburg,-26.2044,28.0456,South Africa,admin,7860781
Fuyang,32.89,115.814,China,,7599913
Hong Kong,22.3,114.2,Hong Kong,primary,7450000
Ganzhou,25.831,114.933,China,minor,7396873
Shangqiu,34.415,115.656,China,,7325300
Cangzhou,38.3047,116.8387,China,minor,7300783
Riyadh,24.65,46.71,Saudi Arabia,primary,7237000
Santiago,-33.4372,-70.6506,Chile,primary,7171000
Zhumadian,33.014,114.022,China,,7008427
Zhanjiang,21.2701,110.3575,China,minor,6981236
Rangoon,16.795,96.16,Burma,primary,6874000
Yancheng,33.35,120.1569,China,minor,6709629
Bijie,27.284,105.292,China,,6686100
Xingtai,37.0717,114.5048,China,minor,6645766
Hengyang,26.894,112.572,China,,6645243
Shaoyang,27.2395,111.4679,China,,6563520
Surabaya,-7.2458,112.7378,Indonesia,admin,6556000
Surat,21.205,72.84,India,,6538000
Quanzhou,24.8744,118.6757,China,minor,6480000
Shangrao,28.4551,117.9431,China,minor,6435300
Zunyi,27.722,107.031,China,,6270700
Madrid,40.4169,-3.7033,Spain,primary,6211000
Baghdad,33.3153,44.3661,Iraq,primary,6183000
Maoming,21.6627,110.9255,China,minor,6174050
Miami,25.784,-80.2101,United States,,6113982
Xinyang,32.149,114.091,China,,6109106
Houston,29.786,-95.3885,United States,,6046392
Singapore,1.3,103.8,Singapore,primary,5983000
Prayagraj,25.4358,81.8464,India,,5954391
Huanggang,30.4537,114.8724,China,minor,5882719
Dalian,38.9,121.6,China,,5871474
Ankara,39.93,32.85,Turkey,primary,5864049
Dallas,32.7935,-96.7667,United States,,5843632
Qingdao,36.0669,120.3827,China,minor,5818255
Yulin,22.654,110.181,China,minor,5796766
Liaocheng,36.4559,115.9852,China,minor,5789863
Douala,4.05,9.7,Cameroon,admin,5768400
